page,title,author,length,ratings
1,Delving and Dating,Daniel Schinhofen,9 hrs and 23 mins,4.8
1,Titan Mage Havoc and the Frigid Flame,Edie Skye,12 hrs and 16 mins,4.8
1,Just for the Plot,Meghan Quinn,13 hrs and 28 mins,Not rated yet
1,Mage Tank 5,Cornman,22 hrs and 27 mins,Not rated yet
1,A Much Maligned Miss,Alice Coldbreath,15 hrs and 13 mins,5.0
1,Thirteen Days of Trouble,Ship Teaser,34 hrs and 40 mins,5.0
1,Threshing Day [Dramatized Adaptation],Rebecca Yarros,5 hrs,Not rated yet
1,WTF America?!,"Ben Meiselas, Brett Meiselas, Jordy Meiselas",10 hrs,Not rated yet
1,Bram Stoker's Dracula,"Bram Stoker, Robyn Ahern - adaptation",Not Yet Known,Not rated yet
1,Bunny Girl Evolution 3,Sir Bedivere the Mad,16 hrs and 47 mins,Not rated yet
1,Pacific Piracy,Jasmine Webb,5 hrs and 32 mins,5.0
1,The Risk Taker,Elle Nicoll,11 hrs and 3 mins,4.8
1,The Infinite Extent,Dennis E. Taylor,8 hrs and 22 mins,Not rated yet
1,Cruel Savior,Lilith Vincent,9 hrs and 17 mins,5.0
1,The Primal Hunter 15,Zogarth,21 hrs and 3 mins,Not rated yet
1,Storm Warning,JK Franks,17 hrs and 24 mins,Not rated yet
1,He Who Fights with Monsters 13: A LitRPG Adventure,"Shirtaloon, Travis Deverell",22 hrs and 34 mins,Not rated yet
1,Skill Eater 4,Magnus Grey,20 hrs and 54 mins,Not rated yet
1,Patient Zero,Jack Slater,10 hrs and 28 mins,5.0
1,The Chef,K. L. Slater,8 hrs and 12 mins,4.4
2,Breaking Point,Mads Rafferty,12 hrs and 15 mins,5.0
2,Chaotic,Shantel Tessier,31 hrs and 23 mins,4.9
2,Just Watch Me,Rosalind James,16 hrs and 42 mins,5.0
2,Better the Devil,JD Kirk,10 hrs and 57 mins,4.9
2,"Harsh Starlight, Vol. 1",M.E. Thorne,11 hrs and 14 mins,4.6
2,"A Dear, Sweet Girl",Tiffany Thomas,14 hrs and 27 mins,5.0
2,Fated Throne (2 of 2) [Dramatized Adaptation],"Caroline Peckham, Susanne Valenti",13 hrs,Not rated yet
2,A Companion to the Book of Enoch,Dr. Michael S. Heiser,6 hrs and 19 mins,Not rated yet
2,Battle Through the Nine Realms 3,Shawn Wilson,14 hrs and 45 mins,5.0
2,"Not (Just) a Mage Lord Isekai, 2",Draith,20 hrs and 10 mins,4.5
2,Fatal Deception,"Elle Gray, K.S. Gray",8 hrs and 2 mins,5.0
2,The Ice Queen Billionaire,Zoe Dod,12 hrs and 14 mins,4.7
2,Rites of the Starling (2 of 2) [Dramatized Adaptation],Devney Perry,8 hrs,Not rated yet
2,Threshing Day (Wing and Claw Collection),Rebecca Yarros,5 hrs and 30 mins,Not rated yet
2,Rise of the Living Forge 6,Actus,22 hrs and 11 mins,Not rated yet
2,The Resilience Of Stars,Xara Kenley,11 hrs and 28 mins,4.9
2,My Favorite Sinners,Skyla Summers,7 hrs and 43 mins,4.8
2,Sweet Oblivion,Bella Matthews,7 hrs and 53 mins,4.9
2,Dark Union,Mark Greaney,Not Yet Known,Not rated yet
2,A Court of Thorns and Roses 7,Sarah J. Maas,7 hrs and 30 mins,Not rated yet
3,Burn of the Everflame,Penn Cole,26 hrs and 40 mins,Not rated yet
3,Queen's Kestrel 7,Danny Rogan,10 hrs and 44 mins,5.0
3,Alien Olympus,Glynn Stewart,11 hrs and 10 mins,4.4
3,Halo: The Fall of Reach (Full-Cast Dramatized Adaptation),Eric Nylund,11 hrs,Not rated yet
3,Adventures in Godok,"Always RollsAOne, Erick Thiemke",17 hrs and 21 mins,4.8
3,Boundless Pride,Jay Krauss,11 hrs and 26 mins,Not rated yet
3,The House of Mystery,Joy Ellis,13 hrs and 17 mins,4.1
3,Framed for Murder,T.L. Haseeb,10 hrs and 12 mins,4.3
3,Vows of Blood and Deception,Aria Ashbrook,18 hrs and 18 mins,4.8
3,"Soccer Supremo, 1",Ted Steel,20 hrs and 56 mins,4.0
3,Pretty Dead Girl,Natalie Tielcke,4 hrs and 52 mins,4.5
3,Her Silence,S. T. Ashman,8 hrs and 54 mins,4.4
3,A Very Good Bad Idea,Emma Chase,7 hrs and 22 mins,4.5
3,Alpha Strike,"David Bruns, J.R. Olson",9 hrs and 19 mins,5.0
3,Hex Kittens 4,"Adam Lance, Michael Dalton, Neil Bimbeau",4 hrs and 26 mins,5.0
3,Birds of Prey,"J.N. Chaney, Terry Maggert",10 hrs and 54 mins,Not rated yet
3,Reclaim Me,L A Gallagher,9 hrs and 5 mins,Not rated yet
3,He Who Fights with Monsters 2,"Shirtaloon, Travis Deverell",22 hrs and 1 min,4.9
3,Stormz Rising,Nicky James,12 hrs and 21 mins,4.9
3,Heroes of the Sky,D. Kahn,19 hrs and 58 mins,Not rated yet
4,Understanding the Forex Landscape,Kendall Little,6 mins,Not rated yet
4,Too Stubborn to Die 2,"B. F. Huups, Sir Bedivere The Mad",19 hrs and 1 min,4.8
4,AI for Learning and Doing,Tracy Morales,7 mins,Not rated yet
4,He Who Fights with Monsters 3,"Shirtaloon, Travis Deverell",24 hrs and 39 mins,4.8
4,Reading the Currency Flow,Logan Chasey,7 mins,Not rated yet
4,Derek's Dungeon Depot 2,Little Lynx,12 hrs and 2 mins,5.0
4,Around the World,Nicole Pyland,6 hrs and 8 mins,5.0
4,A Court of Thorns and Roses 6,Sarah J. Maas,7 hrs and 30 mins,Not rated yet
4,"God, AI and the End of History",John C Lennox,30 hrs and 16 mins,Not rated yet
4,"Earthen Contenders Collection, Books 4-6",Jonathan Brooks,43 hrs and 47 mins,5.0
4,The Boy in the Emerald Fire,C.A. Jackson,11 hrs and 6 mins,Not rated yet
4,The Throne of Broken Gods (2 of 2) [Dramatized Adaptation],Amber V. Nicole,12 hrs,Not rated yet
4,Make Me,Adriana Locke,8 hrs and 10 mins,4.0
4,Iron Blooded 3,Reece Brooks,17 hrs and 51 mins,4.6
4,Native American Mythology,Frank Hamilton Cushing,11 hrs and 55 mins,5.0
4,A Simple Love,Melanie Moreland,6 hrs and 37 mins,4.9
4,"Rapport: Friendship, Solidarity, Communion, Empathy",Martha Wells,48 mins,Not rated yet
4,The Currency Chart Companion,Ingram Hoffman,7 mins,Not rated yet
4,AI for Organized Thinking,Valerie Bush,7 mins,Not rated yet
4,Artificial Intelligence in Practice,Maynard Quinn,6 mins,Not rated yet
5,CHRONICLES OF THE GOLDEN SKIES,T. GREY,35 hrs and 52 mins,Not rated yet
5,Reclaiming the Mind and Body,L. Stoller,29 hrs and 47 mins,Not rated yet
5,Backtrack,Marc Cameron,13 hrs and 51 mins,Not rated yet
5,Arcane Arctic 5,Peter North,15 hrs and 15 mins,5.0
5,Journey to Amazonia,Ali Vali,9 hrs and 45 mins,5.0
5,Illegal Formation,Kandi Steiner,11 hrs and 40 mins,4.5
5,"Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!, Vol. 15",Ryuto,5 hrs and 48 mins,4.9
5,The Intelligent Future Framework,Jamie Bourn,6 mins,Not rated yet
5,Creation,Sean Oswald,19 hrs and 38 mins,4.7
5,He Who Fights with Monsters 4,"Shirtaloon, Travis Deverell",22 hrs and 20 mins,4.8
5,A Murder at the Royal Opera,Magda Alexander,8 hrs and 44 mins,5.0
5,Crown Me Yours,Liv Zander,8 hrs and 17 mins,5.0
5,The Last Renewal,T.C. Edge,50 hrs and 13 mins,Not rated yet
5,Double Interference,Madi Danielle,10 hrs and 54 mins,4.8
5,Portal to Nova Roma: Paris,J.R. Mathews,25 hrs and 12 mins,4.9
5,Thunderstruck,Beth Bolden,12 hrs and 27 mins,4.7
5,The Davenports Box Set,L. Steele,85 hrs and 23 mins,Not rated yet
5,Artificial Intelligence for Busy People,Justine Pearson,7 mins,Not rated yet
5,Sin City Dark,Leigh Iversen,14 hrs and 27 mins,4.5
5,The AI Advantage in Daily Work,Audrey Sutton,6 mins,Not rated yet
6,The Human Side of Online Marketing,Tristan Hewitt,6 mins,Not rated yet
6,Gym Bros,August Jones,11 hrs and 44 mins,4.8
6,RV Mage 4,Noah Layton,5 hrs and 16 mins,5.0
6,Fae and Fare,pirateaba,61 hrs and 4 mins,4.8
6,"The Trouble Shooter, Part 2",C.J. Petit,9 hrs and 47 mins,5.0
6,The Calm Path to Personal Growth,Mortimer Lynch,7 mins,Not rated yet
6,Perfectly You,Claudia Burgoa,6 hrs and 15 mins,3.5
6,The Last to Drown: A Thriller,Noelle W. Ihli,8 hrs and 9 mins,4.2
6,A Reptile Dysfunction,Jerry Boyd,8 hrs and 13 mins,Not rated yet
6,When the Moon Hatched,Sarah A. Parker,20 hrs and 12 mins,4.3
6,Nothing Left,Evan Barker,6 hrs and 50 mins,Not rated yet
6,Summer Knight [Dramatized Adaptation],Jim Butcher,11 hrs,4.3
6,End of King,Alvin Atwater,14 hrs and 12 mins,5.0
6,Il Calamity Club,Kathryn Stockett,28 hrs and 42 mins,Not rated yet
6,He Who Fights with Monsters 5,"Shirtaloon, Travis Deverell",20 hrs and 5 mins,4.8
6,Honor Requires,MJ Stratton,15 hrs and 6 mins,5.0
6,He Who Fights with Monsters 6,"Shirtaloon, Travis Deverell",15 hrs and 49 mins,4.9
6,Dual Class 4,Arthur Inverse,16 hrs and 14 mins,4.4
6,1916 Angels over the Somme,Griff Hosker,9 hrs and 16 mins,5.0
6,A Pack of Tales,Mary Ann Weir,14 hrs and 50 mins,5.0
7,Madness & Mayhem,Emma Slate,11 hrs and 22 mins,4.2
7,The AI Prompt Engineering Principles,Pierce Caldwell,5 hrs and 57 mins,4.8
7,Zodiac Academy 8,"Caroline Peckham, Susanne Valenti",36 hrs and 41 mins,4.5
7,"State of Unrest, A First Family Novel",Marie Force,11 hrs and 49 mins,4.9
7,You Will Never Know,Sophia Prentiss,8 hrs and 52 mins,4.2
7,The Beginner’s Guide to Better Habits,Nico Stokes,6 mins,Not rated yet
7,Small Business Marketing Clarity,Zachary Erickson,9 mins,Not rated yet
7,The Human-AI Workflow,Felipa Campa,6 mins,Not rated yet
7,The Everyday Digital Marketer,Ged Nunez,10 mins,Not rated yet
7,The Beginner’s Guide to Digital Positioning,Wynne Warner,9 mins,Not rated yet
7,The Better Direction Method,Victor Wheatly,5 mins,Not rated yet
7,The Digital Outreach Handbook,Neal Douglas,9 mins,Not rated yet
7,The New Digital Assistant,Dale Estrada,6 mins,Not rated yet
7,Self-Improvement Made Realistic,Lucy Vasquez,6 mins,Not rated yet
7,Confident Digital Marketing for Small Teams,Shawn Lane,9 mins,Not rated yet
7,Sustainable Digital Marketing Practices,Priscilla Hampton,8 mins,Not rated yet
7,The Local Business Online Advantage,Irene George,9 mins,Not rated yet
7,The Steady Marketing Playbook,Shawn Lane,8 mins,Not rated yet
7,The Stone Sisters,Margot Hunt,7 hrs and 15 mins,4.6
7,Hell Difficulty Tutorial 6,Cerim,22 hrs and 3 mins,4.9
8,Land of Wolves: Atonement,Invi Wright,7 hrs and 48 mins,4.7
8,Marsh Mystics,Jana DeLeon,9 hrs and 2 mins,4.9
8,Honovi's Briefs,Lucy Lennox,1 hr and 43 mins,4.7
8,Dark Chains,I. T. Lucas,9 hrs and 35 mins,4.6
8,Jewel Sowers: A Novel,Edith Allonby,9 hrs and 8 mins,Not rated yet
8,The Mistake,Elle Kennedy,10 hrs and 11 mins,4.4
8,The Wedding Lies,Jade Lee Wright,9 hrs and 56 mins,4.2
8,The Responsible AI User,Emma Harris,6 mins,Not rated yet
8,The Small Business Online Communication System,Tyne Green,9 mins,Not rated yet
8,Digital Visibility for Beginners,Fred Wheatly,9 mins,Not rated yet
8,Understanding Generative Intelligence,Sophia Presley,6 mins,Not rated yet
8,Awakening,C.M. Barnes,9 hrs and 14 mins,Not rated yet
8,Remnants,Bruno Miller,9 hrs and 22 mins,3.0
8,The Bequest,Andrew J Wakefield,4 hrs and 20 mins,5.0
8,Real-World Digital Strategy for Small Business,Diana Skinner,7 mins,Not rated yet
8,"Calm, Organized Finances",Verda Geis,8 mins,Not rated yet
8,Jilly Cooper's A Pressing Engagement,"Jilly Cooper, Dare Aiyegbayo - adaption",2 hrs and 43 mins,4.7
8,Mjolnir,B.C. James,12 hrs and 1 min,Not rated yet
8,The Irresistible One,Marni Mann,9 hrs and 14 mins,4.8
8,Digital Promotion for Practical Entrepreneurs,Barbara Jennings,9 mins,Not rated yet
9,Working Smarter with AI,Joan Padilla,6 mins,Not rated yet
9,He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon, Travis Deverell",28 hrs and 56 mins,4.8
9,She Ain't Never Met Another One Like Me 3,Jahquel J.,5 hrs and 52 mins,Not rated yet
9,The First Great Game 6,Pierce Grey,12 hrs and 32 mins,5.0
9,Steel,Kimberly Brown,11 hrs and 32 mins,Not rated yet
9,What She Heard,Jen Aisling,3 hrs and 13 mins,4.5
9,Lord of Chaos,Robert Jordan,41 hrs and 32 mins,4.8
9,Uncapped,Dakota Krout,16 hrs and 25 mins,4.8
9,The Thoughtful Life Framework,Kerry King,6 mins,Not rated yet
9,The Beginner’s Guide to Smart Money Choices,Gresham Graves,6 mins,Not rated yet
9,The Online Presence Starter Manual,ron Curry,8 mins,Not rated yet
9,Personal Development Without Pressure,Keith Porter,6 mins,Not rated yet
9,Empire of Storms,Sarah J. Maas,25 hrs and 18 mins,4.8
9,The Last Safe House,"Joey Wells, Carter Woods, Colton Lively",29 hrs and 50 mins,Not rated yet
9,The Gate of the Feral Gods,Matt Dinniman,18 hrs and 3 mins,4.9
9,Heaven's River,Dennis E. Taylor,16 hrs and 57 mins,4.8
9,The Face,Dean Koontz,19 hrs and 33 mins,4.8
9,Wrecked Beginnings,Catherine Cowles,27 hrs and 20 mins,4.8
9,The Butcher's Masquerade,Matt Dinniman,23 hrs and 33 mins,4.9
9,The Eye of the Bedlam Bride,Matt Dinniman,26 hrs and 46 mins,4.9
10,Ruin,Nicoli Gonnella,34 hrs and 46 mins,4.9
10,Your First Financial Plan,Eden Francis,7 mins,Not rated yet
10,The Everyday Self-Improvement Guide,Helen Moody,6 mins,Not rated yet
10,Breaking His Rules,Layla Hagen,7 hrs and 28 mins,4.4
10,The Man in the Brown Suit,Agatha Christie,8 hrs and 24 mins,4.0
10,The Highlander's Cursed Lass,Julie Johnstone,6 hrs and 59 mins,Not rated yet
10,The Tutor,Rosie Day,10 hrs and 1 min,4.5
10,He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon, Travis Deverell",26 hrs and 19 mins,4.9
10,The Janitor,Don Winslow,3 hrs and 4 mins,4.5
10,Morning Star,Pierce Brown,21 hrs and 50 mins,4.8
10,Tower of Dawn,Sarah J. Maas,22 hrs and 39 mins,4.8
10,Iron Flame,Rebecca Yarros,28 hrs and 16 mins,4.8
10,The Nanny,Heather Burnside,7 hrs and 21 mins,4.3
10,Sunrise on the Reaping (The Hunger Games),Suzanne Collins,12 hrs and 48 mins,4.8
10,Golden Son,Pierce Brown,19 hrs and 3 mins,4.8
10,A Court of Wings and Ruin,Sarah J. Maas,25 hrs and 9 mins,4.8
10,He Who Fights with Monsters 12: A LitRPG Adventure,"Shirtaloon, Travis Deverell",19 hrs and 26 mins,4.8
10,Secrets and Shadows Duet,Jay Trott,15 hrs and 51 mins,Not rated yet
10,Sleeping Beauties,Sam Holland,7 hrs and 12 mins,4.6
10,Five Liars,D.L. Fisher,8 hrs and 9 mins,3.9
11,A Court of Mist and Fury,Sarah J. Maas,23 hrs and 16 mins,4.8
11,This Inevitable Ruin,Matt Dinniman,28 hrs and 40 mins,4.9
11,Carl's Doomsday Scenario,Matt Dinniman,11 hrs and 28 mins,4.9
11,Joel,Dale Mayer,5 hrs and 32 mins,4.8
11,The Devoted Wife,Sarah A. Denzil,7 hrs and 10 mins,4.5
11,The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,33 hrs and 45 mins,4.8
11,He Who Fights with Monsters 9,"Shirtaloon, Travis Deverell",28 hrs and 3 mins,4.8
11,The Wolf Queen,Lauren Palphreyman,12 hrs,Not rated yet
11,Knights Like These,Kendall Ryan,6 hrs and 55 mins,4.7
11,Hold the Line,Hazel Holmes,7 hrs and 9 mins,Not rated yet
11,The Landlady,Jane E. James,7 hrs and 57 mins,4.3
11,Old 2 Young,Jason Fronde,33 mins,Not rated yet
11,House of Sky and Breath,Sarah J. Maas,27 hrs and 42 mins,4.8
11,Artificial Intelligence Decoded,Bentley Clark,6 mins,Not rated yet
11,SPLBERG,Charlie Webster,5 hrs and 8 mins,4.3
11,Winter Solstice,pirateaba,34 hrs and 14 mins,4.8
11,Nothing in Moderation,Shep Rose,4 hrs and 20 mins,Not rated yet
11,All the Time in the World,Cara Bastone,4 hrs and 26 mins,4.7
